aX,aY,aZ,gX,gY,gZ
-0.275,-0.434,1.062,-5.249,-12.207,14.282
-0.311,-0.482,1.077,-7.263,-8.423,18.250
-0.303,-0.513,1.047,-3.418,-5.615,24.048
-0.291,-0.517,0.997,5.432,-3.113,30.518
-0.304,-0.507,0.960,14.771,-1.282,36.560
-0.327,-0.469,0.946,22.095,0.000,42.297
-0.352,-0.401,0.925,26.855,0.366,47.180
-0.359,-0.346,0.891,25.208,0.916,49.194
-0.380,-0.311,0.901,13.977,0.427,49.744
-0.405,-0.269,0.935,-0.488,-2.319,51.270
-0.409,-0.249,0.959,-15.991,-4.211,51.575
-0.414,-0.274,0.984,-29.236,-3.723,50.049
-0.424,-0.296,1.007,-34.302,-2.075,48.767
-0.440,-0.300,1.021,-31.067,1.282,49.438
-0.404,-0.265,0.991,-15.564,4.822,48.889
-0.331,-0.229,0.900,3.723,8.301,47.119
-0.302,-0.211,0.838,12.390,10.681,45.654
-0.277,-0.184,0.804,9.949,8.911,46.265
-0.286,-0.182,0.845,2.014,3.967,47.729
-0.305,-0.175,0.937,-11.597,-1.221,47.913
-0.304,-0.187,1.016,-24.109,-2.869,46.936
-0.292,-0.219,1.090,-32.898,1.099,45.898
-0.284,-0.245,1.132,-36.316,9.888,45.837
-0.245,-0.264,1.117,-29.785,22.400,46.509
-0.171,-0.266,1.041,-14.771,35.339,47.180
-0.078,-0.263,0.934,-0.488,44.739,47.852
-0.019,-0.262,0.853,4.456,50.232,48.767
0.019,-0.257,0.787,2.075,51.270,50.049
0.052,-0.244,0.744,-4.395,47.913,50.049
0.037,-0.239,0.745,-14.893,42.603,48.035
0.009,-0.240,0.763,-23.560,37.109,44.861
-0.018,-0.242,0.804,-27.527,31.677,40.894
-0.026,-0.242,0.850,-27.344,27.588,37.476
-0.019,-0.224,0.895,-23.010,23.987,36.194
0.000,-0.201,0.947,-16.663,21.545,36.438
0.022,-0.185,1.000,-10.315,19.531,36.377
0.043,-0.190,1.049,-5.554,19.592,34.119
0.136,-0.182,1.031,-6.531,18.005,30.273
0.225,-0.201,1.026,-15.320,17.212,26.794
0.278,-0.236,1.000,-29.053,20.325,24.963
0.292,-0.266,0.968,-37.170,25.330,25.269
0.257,-0.287,0.942,-36.255,32.776,26.184
0.182,-0.292,0.909,-28.320,40.710,26.855
0.121,-0.266,0.880,-17.761,45.654,27.954
0.069,-0.230,0.877,-8.301,45.593,28.748
0.089,-0.200,0.872,-2.136,41.016,28.259
0.137,-0.190,0.883,-0.916,35.339,26.794
0.194,-0.191,0.893,-2.686,29.175,24.902
0.252,-0.202,0.924,-5.188,23.010,21.606
0.312,-0.216,0.940,-7.935,20.874,18.738
0.345,-0.224,0.976,-12.939,21.973,16.785
0.375,-0.208,0.969,-14.099,23.193,15.564
0.379,-0.187,0.964,-12.268,28.198,14.954
0.363,-0.164,0.934,-10.193,34.668,14.343
0.368,-0.142,0.887,-8.057,38.330,13.916
0.331,-0.139,0.878,-8.301,39.551,12.695
0.307,-0.127,0.854,-9.766,38.635,10.559
0.336,-0.151,0.857,-11.963,36.011,7.019
0.320,-0.192,0.884,-16.235,32.288,2.991
0.332,-0.225,0.901,-22.583,30.640,0.610
0.339,-0.259,0.908,-26.672,30.884,0.854
0.371,-0.271,0.911,-28.015,31.250,3.296
0.378,-0.267,0.917,-26.245,33.325,7.141
0.386,-0.245,0.884,-20.935,36.438,11.047
0.405,-0.199,0.829,-12.878,39.185,15.198
0.418,-0.146,0.774,-6.470,38.940,18.799
0.429,-0.104,0.740,-2.930,35.583,20.813
0.464,-0.074,0.706,-3.967,30.640,20.691
0.484,-0.059,0.685,-6.775,24.353,18.982
0.480,-0.071,0.708,-11.963,18.799,16.602
0.477,-0.083,0.729,-17.639,13.672,13.184
0.532,-0.088,0.768,-20.081,8.728,11.047
1.629,0.551,0.541,78.735,-97.351,-26.306
1.510,0.684,0.580,99.182,-98.755,-32.349
1.228,0.855,0.628,126.648,-94.055,-39.917
0.823,1.019,0.691,152.954,-82.520,-54.260
0.362,1.106,0.727,165.527,-65.491,-74.707
-0.194,1.108,0.721,156.677,-46.997,-93.140
-0.853,1.124,0.745,127.136,-31.067,-111.389
-1.526,1.076,0.754,89.111,-13.000,-138.245
-2.294,0.958,0.746,43.152,14.160,-176.941
-3.109,0.582,0.733,-10.742,37.903,-228.516
-3.747,0.037,0.760,-67.993,42.664,-278.076
-4.000,-0.576,0.947,-120.300,15.198,-306.580
-4.000,-1.300,1.168,-146.851,-35.889,-319.824
-3.486,-2.149,1.428,-141.785,-99.976,-326.538
-2.387,-3.219,1.689,-119.507,-148.437,-323.975
-1.294,-4.000,1.813,-104.797,-157.715,-309.082
-0.494,-4.000,2.752,-188.232,-149.292,-262.939
1.566,-4.000,2.239,-308.716,-166.992,-92.957
1.233,-2.720,2.063,-102.173,-86.121,184.387
-0.651,-0.564,2.324,178.772,116.882,283.142
-1.692,1.482,2.318,325.073,211.304,263.672
-1.452,2.690,1.702,332.275,198.792,211.731
-0.923,3.023,0.884,166.199,150.757,152.893
-0.783,2.548,0.276,-49.500,99.609,99.609
-0.682,1.637,-0.052,-183.044,46.814,32.837
-0.473,0.784,0.030,-215.942,-6.653,-30.273
-0.389,0.138,0.282,-178.040,-44.983,-70.618
-0.348,-0.259,0.618,-115.540,-64.392,-88.257
-0.303,-0.506,0.918,-52.979,-66.345,-91.125
-0.271,-0.613,1.113,-12.390,-60.547,-81.604
-0.245,-0.657,1.212,-1.465,-52.551,-62.561
-0.218,-0.635,1.260,-6.958,-43.762,-40.649
-0.192,-0.575,1.258,-9.705,-29.419,-22.400
-0.196,-0.524,1.189,-3.967,-8.240,-9.216
-0.231,-0.463,1.045,5.371,13.062,0.671
-0.268,-0.389,0.869,11.963,27.954,9.827
-0.309,-0.325,0.697,13.367,34.180,16.785
-0.364,-0.290,0.576,13.794,32.166,21.545
-0.400,-0.277,0.541,16.418,21.667,24.170
-0.411,-0.272,0.602,22.522,5.005,25.085
-0.391,-0.266,0.734,30.090,-11.780,24.353
-0.380,-0.271,0.903,35.156,-23.987,23.193
-0.341,-0.286,1.032,36.072,-29.236,21.545
-0.320,-0.308,1.126,32.043,-26.184,22.095
-0.327,-0.314,1.176,26.123,-18.250,23.926
-0.320,-0.321,1.176,22.156,-8.057,24.597
-0.296,-0.368,1.103,18.494,2.686,24.658
-0.253,-0.407,0.998,11.719,9.094,25.940
-0.257,-0.438,0.898,2.991,12.817,30.212
-0.289,-0.447,0.830,-5.676,12.573,35.706
-0.371,-0.438,0.827,-12.146,9.277,39.612
-0.456,-0.442,0.857,-15.076,3.418,40.588
-0.491,-0.438,0.890,-15.015,-4.028,40.039
-0.539,-0.445,0.961,-14.465,-10.193,41.382
-0.583,-0.440,1.034,-12.634,-12.695,43.884
-0.557,-0.425,1.065,-3.906,-11.047,46.326
-0.484,-0.421,1.083,7.996,-4.761,48.523
-0.399,-0.382,1.091,15.198,3.052,53.833
-0.320,-0.312,1.048,16.418,10.010,60.791
-0.265,-0.260,0.973,11.780,18.677,63.660
-0.274,-0.237,0.875,0.427,28.992,63.171
-0.293,-0.235,0.788,-13.062,35.400,61.768
-0.335,-0.238,0.760,-26.794,34.973,59.875
-0.367,-0.231,0.768,-34.058,29.480,58.044
-0.365,-0.218,0.805,-32.776,21.545,54.565
-0.352,-0.220,0.859,-26.306,14.954,50.537
-0.303,-0.218,0.896,-20.081,12.024,47.607
-0.236,-0.207,0.942,-17.273,10.986,43.030
-0.161,-0.218,0.970,-17.273,10.986,38.452
-0.092,-0.227,1.003,-21.667,11.230,36.499
-0.023,-0.233,1.051,-27.283,9.155,37.109
0.034,-0.228,1.084,-30.396,9.216,39.429
0.035,-0.211,1.082,-28.809,13.672,40.894
0.044,-0.213,1.063,-22.278,20.386,40.649
0.049,-0.225,1.033,-17.700,30.151,39.551
0.026,-0.234,0.993,-12.878,41.016,39.795
0.025,-0.247,0.928,-6.470,49.500,40.955
0.020,-0.248,0.880,-1.404,53.101,41.077
0.055,-0.230,0.846,2.197,52.490,39.612
0.107,-0.216,0.815,2.930,48.889,36.438
0.139,-0.213,0.801,-0.610,42.847,31.799
0.189,-0.226,0.806,-8.057,34.302,28.503
0.203,-0.231,0.852,-17.029,25.391,26.978
0.225,-0.227,0.914,-22.705,18.433,26.306
0.227,-0.237,0.949,-23.621,16.785,24.109
0.208,-0.257,1.016,-25.513,19.592,21.240
0.208,-0.247,1.041,-21.851,20.447,19.287
0.251,-0.236,1.040,-19.775,23.315,18.188
0.305,-0.226,1.027,-20.386,27.405,17.639
0.292,-0.216,1.018,-20.630,30.029,18.066
0.279,-0.192,1.019,-20.203,36.072,19.470
0.323,-0.185,0.992,-16.479,42.419,20.508
0.306,-0.165,0.976,-18.799,41.809,18.066
0.291,-0.139,0.977,-22.522,42.969,16.357
0.290,-0.145,0.950,-26.184,45.837,13.794
0.300,-0.150,0.928,-29.175,46.936,11.536
0.324,-0.156,0.907,-31.616,45.959,9.949
0.361,-0.151,0.896,-30.762,44.495,10.315
0.403,-0.139,0.872,-27.344,42.358,11.902
0.459,-0.135,0.857,-23.193,41.443,13.611
