aX,aY,aZ,gX,gY,gZ
0.197,-0.229,-1.389,33.264,-43.945,10.986
0.202,-0.204,-1.360,32.227,-47.241,10.559
0.183,-0.182,-1.356,31.860,-48.950,9.949
0.170,-0.170,-1.366,30.823,-50.232,9.033
0.143,-0.159,-1.376,29.175,-53.284,8.606
0.121,-0.146,-1.375,28.564,-58.777,7.629
0.120,-0.156,-1.366,29.297,-65.308,5.249
0.112,-0.154,-1.344,30.029,-72.205,3.601
0.109,-0.154,-1.322,29.419,-79.468,2.869
0.115,-0.162,-1.284,30.762,-86.243,1.282
0.128,-0.162,-1.256,33.752,-91.553,-0.549
0.134,-0.155,-1.234,34.973,-95.276,-1.160
0.139,-0.157,-1.221,33.142,-98.206,-1.648
0.153,-0.163,-1.215,30.212,-101.135,-1.770
0.152,-0.138,-1.237,26.184,-103.516,-1.160
0.140,-0.112,-1.286,20.447,-106.506,-1.587
0.124,-0.087,-1.313,13.916,-111.816,-2.258
0.136,-0.081,-1.322,7.935,-120.361,-2.930
0.138,-0.068,-1.292,3.235,-130.249,-2.380
0.148,-0.071,-1.260,0.854,-138.733,-2.502
0.153,-0.089,-1.243,3.540,-144.287,-3.723
0.165,-0.135,-1.221,10.132,-147.705,-5.920
0.188,-0.180,-1.184,20.325,-150.818,-8.118
0.214,-0.212,-1.144,29.602,-154.602,-8.545
0.256,-0.226,-1.083,34.912,-159.668,-6.531
0.307,-0.221,-1.022,36.255,-163.696,-3.479
0.334,-0.185,-0.986,35.278,-165.039,0.427
0.347,-0.130,-0.950,34.912,-164.612,3.357
0.357,-0.082,-0.936,34.058,-163.452,4.028
0.358,-0.032,-0.926,31.555,-163.879,4.089
0.362,-0.017,-0.895,29.419,-165.955,2.686
0.392,-0.019,-0.845,28.992,-169.189,0.122
0.416,-0.028,-0.796,30.151,-169.983,-2.075
0.452,-0.055,-0.735,30.884,-170.349,-3.174
0.498,-0.080,-0.666,29.541,-170.471,-3.174
0.515,-0.083,-0.631,28.320,-167.114,-2.014
0.525,-0.087,-0.626,27.344,-162.109,-1.038
0.518,-0.092,-0.649,27.771,-157.227,-0.244
0.515,-0.086,-0.642,28.870,-155.823,0.916
0.513,-0.089,-0.632,32.104,-155.396,0.793
0.510,-0.080,-0.633,36.133,-154.907,-0.244
0.509,-0.061,-0.609,38.086,-157.104,-0.671
0.526,-0.060,-0.565,36.682,-162.231,-1.465
0.553,-0.069,-0.512,34.668,-166.748,-1.831
